Category,Message,spam
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat,0
ham,ok lar joking wif u oni,0
spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate c apply 08452810075over18,1
ham,u dun say early hor u c already say,0
ham,nah think go usf life around though,0
spam,freemsg hey darling 3 week word back like fun still tb ok xxx std chgs send â 1 50 rcv,1
ham,even brother like speak treat like aid patent,0
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,0
spam,winner valued network customer selected receivea â 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,1
spam,mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030,1
ham,gonna home soon want talk stuff anymore tonight k cried enough today,0
spam,six chance win cash 100 20 000 pound txt csh11 send 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info,1
spam,urgent 1 week free membership â 100 000 prize jackpot txt word claim 81010 c www dbuk net lccltd pobox 4403ldnw1a7rw18,1
ham,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,0
ham,date sunday,0
spam,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl,1
ham,oh k watching,0
ham,eh u remember 2 spell name yes v naughty make v wet,0
ham,fine thatâ way u feel thatâ way gota b,0
spam,england v macedonia dont miss goal team news txt ur national team 87077 eg england 87077 try wale scotland 4txt ãº1 20 poboxox36504w45wq 16,1
ham,seriously spell name,0
ham,iâ going try 2 month ha ha joking,0
ham,ã¼ pay first lar da stock comin,0
ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already,0
ham,ffffffffff alright way meet sooner,0
ham,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol,0
ham,lol always convincing,0
ham,catch bus frying egg make tea eating mom left dinner feel love,0
ham,back amp packing car let know room,0
ham,ahhh work vaguely remember feel like lol,0
ham,wait still clear sure sarcastic x want live u,0
ham,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 go badly cheer,0
ham,k tell anything,0
ham,fear fainting housework quick cuppa,0
spam,thanks subscription ringtone uk mobile charged â 5 month please confirm replying yes reply charged,1
ham,yup ok go home look timing msg ã¼ xuhui going learn 2nd may lesson 8am,0
ham,oops let know roommate done,0
ham,see letter b car,0
ham,anything lor u decide,0
ham,hello saturday go texting see decided anything tomo trying invite anything,0
ham,pls go ahead watt wanted sure great weekend abiola,0
ham,forget tell want need crave love sweet arabian steed mmmmmm yummy,0
